stt,ten_sp,gia_ban,doanh_so_365,so_luong_ban_365,tong_doanh_so,tong_luot_ban,tong_danh_gia,brand,phan_khuc_gia,pct_doanh_so,ti_le_danh_gia
1,[Tặng hộp hoặc sốt] Combo 3 gói sốt muối kim chi O'food 180g / gói,91100,2383563000,24148,4999687040,50686,11674,O'food,Trung (50-150k),0.94,0.2303
2,"Sa Tế Sò Điệp Thích Cay Sốt Trộn Mì, Hủ Tiếu, Phở Sốt Chấm Cá Viên Chiên Sốt Ướp Thịt",59000,812970720,14151,4396505105,78015,17262,THÍCH CAY,Trung (50-150k),0.32,0.2213
3,Nước Mắm Tĩn Nhãn Đỏ Độ Đạm 40N Cặp 2 Chai Thủy Tinh 500ml/chai Rin Nguyên Chất Truyền Thống Sạch Không Chất Bảo Quản,330000,679857000,2073,1181512000,3601,7460,Nước Mắm Tĩn,Cao (>150k),0.27,2.0716
4,"Mắm nêm pha sẵn cao cấp Làng Chài Xưa, nguyên liệu tươi, thơm ngon đặc biệt, chai thủy tinh 300g",63000,638419100,9847,744189300,11477,1903,Làng Chài Xưa,Trung (50-150k),0.25,0.1658
5,Sốt Gà Rán Ottogi Chai 2.4KG,145000,548102000,382,960943300,6715,6740,Ottogi,Trung (50-150k),0.22,1.0037
6,"Combo 03 hũ Sa tế sò điệp Thích Cay 250g đa dụng, tiện lợi",199000,496341750,2479,686928130,3435,8030,THÍCH CAY,Cao (>150k),0.19,2.3377
7,Canh Kim Chi Thịt Gà Ăn Liền I-Soup 66g,68000,466309000,716,1220413000,18767,342,I-soup,Trung (50-150k),0.18,0.0182
8,[Nước mắm NGON] Nước mắm Tĩn nhãn đỏ độ đạm 40N chai thủy tinh 500ml rin nguyên chất truyền thống sạch,165000,465830000,2824,779105800,4724,9050,Nước Mắm Tĩn,Cao (>150k),0.18,1.9157
9,Combo 3 gói sốt muối kim chi cay dịu O'food 180g / gói tặng 1 hộp nhựa cao cấp 2L hoặc 1 gói sốt muối kim chi cùng loại,96000,460881000,4664,679398000,6877,1545,O'food,Trung (50-150k),0.18,0.2247
10,Combo 4 Nước mắm cá cơm Thuận Phát 40 độ đạm 610ml - Từ nước cốt nhĩ cá cơm Phú Quốc,257000,447466320,1686,535766552,2014,5220,Unknown,Cao (>150k),0.18,2.5919
11,"Sốt Trứng Muối hoàng kim Thích Cay 150g đa dụng cho các món ốc, hải sản, mì ý",55000,439050800,7531,439050800,7531,111,THÍCH CAY,Trung (50-150k),0.17,0.0147
12,[Chai 2 lít - Tiết kiệm] Nước Chấm Cá Cơm Than Làng Chài Xưa chai nhựa cao cấp 2 lít/chai Đặc Biệt Thanh Dịu An toàn,71500,432792200,6014,505364200,7022,1946,Làng Chài Xưa,Trung (50-150k),0.17,0.2771
13,[ Bán chạy nhất ] Thùng 6 chai nước mắm nhỉ xuất khẩu Làng Chài Xưa Nhãn Xanh 500ml/chai,320000,422330000,1329,851308200,2695,8290,Làng Chài Xưa,Cao (>150k),0.17,3.0761
14,Combo 2 nước mắm cá cơm Thuận Phát 40 độ đạm 610ml - Từ nước cốt nhĩ cá cơm Phú Quốc,129000,408182084,3243,682817928,5436,1581,THUẬN PHÁT,Trung (50-150k),0.16,0.2908
15,Tương ớt gói Cholimex 10g siêu tiện lợi (01 túi gồm 50 gói),27900,406509200,13138,450312200,14551,1027,Cholimex,Rẻ (<50k),0.16,0.0706
16,Combo 2 sốt muối kim chi O'food 180g/gói,60000,358654800,6409,1174094800,21007,4494,O'food,Trung (50-150k),0.14,0.2139
17,Xốt Teriyaki O'chef Ottogi 2kg,112000,321542720,2776,375856550,3245,2630,Ottogi,Trung (50-150k),0.13,0.8105
18,Xốt phô mai Ottogi 1kg,94000,301197500,3106,301197500,3106,4060,Ottogi,Trung (50-150k),0.12,1.3071
19,"Combo sốt trứng muối & bơ tỏi hoàng kim Thích Cay 150g chuẩn vị nhà hàng cho các món ốc, hải sản, chấm bánh mì",99000,301036000,3008,301036000,3008,5480,THÍCH CAY,Trung (50-150k),0.12,1.8218
20,[Thùng 6 chai nước mắm ngon] Nước Mắm Tĩn cá cơm than Nhãn Đỏ Độ Đạm 40N Thùng 6 Chai Thủy Tinh 500ml/chai,990000,297441000,3090,592297500,6150,1730,Nước Mắm Tĩn,Cao (>150k),0.12,0.2813
21,COMBO 2 cá vàng 60N 500ml Nước Mắm Tĩn Cá Cơm Ruột Đỏ Chai Thuỷ Tinh 500ml Nước Mắm Truyền Thống,418000,292211000,6960,394651000,9400,2380,Nước Mắm Tĩn,Cao (>150k),0.11,0.2532
22,"Sốt muối kim chi O'food gói 180g, chuẩn vị Hàn Quốc",30000,287189500,959,1307909260,43733,6451,O'food,Rẻ (<50k),0.11,0.1475
23,"Muối hồng Himalaya Vipep nguyên hạt, xay nhuyễn 120g/200g/250g/500g/1100g - Gia vị Vipep",18000,282481350,11986,711454750,30129,5274,Vipep,Rẻ (<50k),0.11,0.175
24,Xốt Spaghetti vị cà chua O'chef Ottogi 2kg,129344,272461696,2099,358810608,2778,3640,Ottogi,Trung (50-150k),0.11,1.3103
25,[Bán chạy nhất] Nước mắm Tĩn nhãn xưa độ đạm 41N 500ml rin nguyên chất truyền thống sạch không chất bảo quản,273000,266152000,9750,533466000,1952,3220,Nước Mắm Tĩn,Cao (>150k),0.1,1.6496
26,Combo 2 Nước mắm cá cơm Thuận Phát 60 độ đạm 490ml - Từ 3 loại cá cơm Phú Quốc,220000,258295358,1199,369901936,1721,3580,THUẬN PHÁT,Cao (>150k),0.1,2.0802
27,"Sốt phô mai trứng muối hoàng kim Thích Cay 150g chuẩn vị cho các món ốc, hải sản",55000,238694400,3688,238694400,3688,6410,THÍCH CAY,Trung (50-150k),0.09,1.7381
28,[Tặng túi vải + mỳ ý] Combo 5 gói SpaghettiO'Food mix 5 vị 120g,125000,238027000,1901,238027000,1901,4690,O'food,Trung (50-150k),0.09,2.4671
29,"Kho quẹt tôm thịt Thích Cay đóng hũ tiện lợi 250g - tôm khô, thịt ba chỉ, tóp mỡ, tiêu xanh",79000,222007490,2776,557234026,7198,1809,THÍCH CAY,Trung (50-150k),0.09,0.2513
30,Chao siêu béo Làng Chài Xưa 850g/hủ làm từ khoai môn hương vị đậm đà và thơm ngon,169000,217617200,1248,353769200,203,3990,Làng Chài Xưa,Cao (>150k),0.09,19.6552
31,Sốt ướp đồ nướng Lee Kum Kee 2.45kg,294900,216877700,7510,330914100,1147,1000,Lee Kum Kee,Cao (>150k),0.09,0.8718
32,Mắm Nêm Ngon Pha Sẵn Thuận Phát 950ml,46000,216299000,432,246809000,4932,2600,THUẬN PHÁT,Rẻ (<50k),0.08,0.5272
33,Tương cà gói Cholimex 10g siêu tiện lợi (01 túi gồm 50 gói),27900,214799000,6944,238080000,7695,6130,Cholimex,Rẻ (<50k),0.08,0.7966
34,Sốt Spaghetti O'Food gói 120g,20000,213304000,12491,338010100,19887,2497,O'food,Rẻ (<50k),0.08,0.1256
35,Combo 5 chai Nước Mắm Phú Quốc Cao Cấp Vị Xưa Barona 40 Độ Đạm 500ml [tặng 1 hũ thủy tinh cao cấp 1 lít],427050,209704000,5300,334592000,8520,2210,Barona,Cao (>150k),0.08,0.2594
36,Combo 02 Chai Nước Mắm Tôm Biển độ đạm 45N tự nhiên - Nước Mắm Tĩn 500ml/chai Hồng Ngọc Đại Dương nguyên chất,398000,208329000,5210,561420000,126,2980,Nước Mắm Tĩn,Cao (>150k),0.08,23.6508
